"ProductName","SKU","Category","ItemType","TrackSerials","SerialPrefix","SerialNextNumber","SerialSuffix","Description","DefaultUnitPrice","Markup","IsFixedMarkup","IsTaxInclusivePrice","Cost USD","In-person Price","NZD","Vendor Price ","Wholesale","Cost","SpecialTaxRate","LastVendor","VendorProductCode","VendorPrice","BarCode","Uom","SalesUom","SalesUomRatio1","SalesUomRatio2","PurchasingUom","PurchasingUomRatio1","PurchasingUomRatio2","ProductLength","ProductWidth","ProductHeight","ProductWeight","Remarks","CombineQuantityBuildable","AutoManufacture","Moonglow US Fulfillment Location","Offline","IsActive"
"01. THE MINI SIMPLICITY STARTER PACK","01. THE MINI SIMPLICITY STARTER PACK","Shop - Bundle","Stocked product","False","","","","","750.27000","","False","True","496.25000","","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","0.0000","","False","False","","","True"
"02. THE SILVER STARTER PACK","02. THE SILVER STARTER PACK","Shop - Bundle","Stocked product","False","","","","","968.28000","","False","True","617.36000","","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","0.0000","","False","False","","","True"
"03. THE MIX STARTER PACK","03. THE MIX STARTER PACK","Shop - Bundle","Stocked product","False","","","","","1238.77000","","False","True","808.82000","","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","0.0000","","False","False","","","True"
"04. MIXED LOCKETS ADD ON PACK","04. MIXED LOCKETS ADD ON PACK","Shop - Bundle","Stocked product","False","","","","","270.00000","","False","True","113.13000","","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","0.0000","","False","False","","","True"
"05. GOLD MINI SIMPLICITY ADD ON PACK","05. GOLD MINI SIMPLICITY ADD ON PACK","Shop - Bundle","Stocked product","False","","","","","340.00000","","False","True","234.46000","","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","0.0000","","False","False","","","True"
"06. ZENITH BRACELET ADD ON PACK","06. ZENITH BRACELET ADD ON PACK","Shop - Bracelets","Stocked product","False","","","","","500.00000","","False","True","232.99000","","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","0.0000","","True","True","","","True"
"07. COSMIC SPIRAL RING ADD ON PACK","07. COSMIC SPIRAL RING ADD ON PACK","""Shop - Rings, Earrings, Anklets""","Stocked product","False","","","","","790.00000","","False","True","558.70000","","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","0.0000","","False","False","","","True"
"08. MINI MOON DROP ADD ON PACK","08. MINI MOON DROP ADD ON PACK","Default Category","Stocked product","False","","","","","192.00000","","False","True","122.98000","","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","0.0000","","False","False","","","True"
"Additional Engraving tag - Stainless","ENGRAVING-TAG-SS","Misc","Stocked product","False","","","","","20.00000","6481.7619376707144502583341561","False","True","0.20000","20.00000","20.00000","","","0.30387","","Moonglow US","","0.20000","","","","1.0000","1.0000","","1.0000","1.0000","","","","0.0000","","False","False","","","True"
"Additional Engraving tag - Gold","ENGRAVING-TAG-YG","Misc","Stocked product","False","","","","","20.00000","5101.4251905021976021429871785","False","True","0.25000","20.00000","20.00000","","","0.38451","","Moonglow US","","0.25000","","","","1.0000","1.0000","","1.0000","1.0000","","","","0.0000","","False","False","","","True"
"Additional Engraving tag - Rose Gold","ENGRAVING-TAG-RG","Misc","Stocked product","False","","","","","20.00000","5163.1578947368421052631578947","False","True","0.25000","20.00000","20.00000","","","0.38000","","Moonglow US","","0.25000","","","","1.0000","1.0000","","1.0000","1.0000","","","","0.0000","","False","False","","","True"
"Additional Engraving tag - Pewter (for Classic in Pewter)","ENGRAVING-TAG-PEW","Misc","Stocked product","False","","","","","20.00000","6311.4893889850612297236648073","False","True","0.20000","20.00000","20.00000","","","0.31194","","Moonglow US","","0.20000","","","","1.0000","1.0000","","1.0000","1.0000","","","","0.0000","","False","False","","","True"
"Additional Interchangeable Moon phase Moondrop (13mm diameter)","REG-MD-13mm","Default Category","Stocked product","False","","","","","22.00000","","False","True","","20.00000","25.00000","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","45.3592","","False","False","","","True"
"Aphrodite Anklet in Gold","STAR-ANKLET-YG + FS10","""Shop - Rings, Earrings, Anklets""","Stocked product","False","","","","","129.00000","347.76119402985074626865671642","False","True","19.00000","0.00000","","","","28.81000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","85.0485","","False","False","","","True"
"Aphrodite Anklet In Stainless Steel","STAR-ANKLET-SS + FS10","""Shop - Rings, Earrings, Anklets""","Stocked product","False","","","","","89.00000","208.92051371051718153418951753","False","True","19.00000","0.00000","","","","28.81000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","85.0485","","False","False","","","True"
"Astral Anklet","SS-ANKLET + CM10-007-SP-2R + MD-MINI-CONST","""Shop - Rings, Earrings, Anklets""","Stocked product","False","","","","","89.00000","548.68804664723032069970845481","False","True","","0.00000","","","","13.72000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","907.1840","","True","True","","","True"
"Astral Choker Necklace","CM10-007-SP-1R + MD-MINI-CONST + BL-CHOKER-Thin","Shop - Necklaces","Stocked product","False","","","","","79.00000","","False","True","","0.00000","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","56.6990","","True","True","","","True"
"Astral Cosmic Spiral Ring in Gold - Size 6","ADJ-RING-YG-6 + FS10-CONST","""Shop - Rings, Earrings, Anklets""","Stocked product","False","","","","","139.00000","1877.6173552284503731863541557","False","True","","0.00000","","","","7.02866","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","56.6990","","True","True","","","True"
"Astral Cosmic Spiral Ring in Gold - Size 7","ADJ-RING-YG-7 + FS10-CONST","""Shop - Rings, Earrings, Anklets""","Stocked product","False","","","","","139.00000","","False","True","","0.00000","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","56.6990","","True","True","","","True"
"Astral Cosmic Spiral Ring in Gold - Size 8","ADJ-RING-YG-8 + FS10-CONST","""Shop - Rings, Earrings, Anklets""","Stocked product","False","","","","","139.00000","","False","True","","0.00000","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","56.6990","","True","True","","","True"
"Astral Cosmic Spiral Ring in Gold - Size 9","ADJ-RING-YG-9 + FS10-CONST","""Shop - Rings, Earrings, Anklets""","Stocked product","False","","","","","139.00000","1877.6145415846810278473736852","False","True","","0.00000","","","","7.02867","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","56.6990","","True","True","","","True"
"Astral Cosmic Spiral Ring in Gold - Size 10","ADJ-RING-YG-10 + FS10-CONST","""Shop - Rings, Earrings, Anklets""","Stocked product","False","","","","","139.00000","","False","True","","0.00000","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","56.6990","","True","True","","","True"
"Astral Lunar Curb Link Bracelet in Gold","LGCURB-BRA-YG + FS10-CONST","Shop - Bracelets","Stocked product","False","","","","","149.00000","","False","True","","0.00000","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","56.6990","","True","True","","","True"
"Astral Lunar Curb Link Bracelet in Stainless Steel","LGCURB-BRA-SS + FS10-CONST","Shop - Bracelets","Stocked product","False","","","","","109.00000","678.94810561964607170753285696","False","True","","","","","","13.99323","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","56.6990","","True","True","","","True"
"Astral Mini Gold Simplicity Pendant - 16-20” Gold","CM10-007-GP-1R + MD-MINI-CONST + CH-ADELA-YG","Shop - Necklaces","Stocked product","False","","","","","134.00000","","False","True","","","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","2.0000","","True","True","","","True"
"Astral Mini Gold Simplicity Pendant - Slip knot cord 1mm","CM10-007-GP-1R + MD-MINI-CONST + MGCord-1mm","Shop - Necklaces","Stocked product","False","","","","","134.00000","","False","True","","","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","2.0000","","True","True","","","True"
"Astral Mini Ituri Pendant in Silver - 16-20” Sterling Silver","MP10-004-SP + MD-MINI-CONST X2 + CH-ADELA-925","Shop - Necklaces","Stocked product","False","","","","","134.00000","480.70247665272691815995319711","False","True","","","","","","23.07550","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","2.0000","","True","True","","","True"
"Astral Mini Ituri Pendant in Silver - 28” Stainless Beaded","MP10-004-SP + MD-MINI-CONST X2 + CH-SS-BEAD-28","Shop - Necklaces","Stocked product","False","","","","","134.00000","","False","True","","","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","2.0000","","True","True","","","True"
"Astral Mini Ituri Pendant in Silver - Slip knot cord 1mm","MP10-004-SP + MD-MINI-CONST X2 + MGCord-1mm","Shop - Necklaces","Stocked product","False","","","","","134.00000","","False","True","","","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","2.0000","","True","True","","","True"
"Astral Mini Rose Gold Simplicity Pendant - 16-20” Rose Gold","CM10-007-RGP-1R + MD-MINI-CONST + CH-ADELA-RG","Shop - Necklaces","Stocked product","False","","","","","139.00000","188.74117158288325716659742418","False","True","","","","","","48.14000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","2.0000","","True","True","","","True"
"Astral Mini Rose Gold Simplicity Pendant - Slip knot cord 1mm","CM10-007-RGP-1R + MD-MINI-CONST + MGCord-1mm","Shop - Necklaces","Stocked product","False","","","","","139.00000","","False","True","","","","","","0.00000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","2.0000","","True","True","","","True"
"Astral Pallene in Gold","YG-BRA-CURB + CM10-007-GP-2R + MD-MINI-CONST","Shop - Bracelets","Stocked product","False","","","","","134.00000","253.09617918313570487483530962","False","True","","","","","","37.95000","","","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","2.0000","","True","True","","","True"
