"OrderNumber","InventoryStatus","PaymentStatus","Vendor","ContactName","Phone","Email","VendorAddress1","VendorAddress2","VendorCity","VendorState","VendorCountry","VendorPostalCode","VendorAddressRemarks","ShipToCompanyName","ShipToAddress1","ShipToAddress2","ShipToCity","ShipToState","ShipToCountry","ShipToPostalCode","ShipToAddressRemarks","CurrencyCode","ExchangeRate","NonVendorCost","OrderDate","OrderRemarks","Freight","DueDate","DatePaid","AmountPaid","RequestedShipDate","VendorOrderNumber","Location","PaymentTerms","PaymentMethod","TaxingScheme","Tax1Rate","Tax2Rate","CalculateTax2OnTax1","Tax1Name","Tax2Name","Tax1OnShipping","Tax2OnShipping","ProductName","ProductSKU","ProductDescription","ProductQuantity","ProductQuantityUoM","ProductUnitPrice","ProductDiscount","VendorProductCode","ProductSubtotal","ProductSerials","SpecialTaxRate","ApproverTeamMember","AssignedToTeamMember","IsQuote","IsCancelled"
"Emergency stock July 2025","Started","Unpaid","Moonglow US","Moonglow LLC","","riaz@moonglow.com","5183 NW 74th Ave ","","Miami","FL","US","33166 ","","","Shop 1B","1794 David Low Way","Coolum Beach","QLD","Australia","4573","","USD","0.6514300000","$0.00","7/29/2025 3:55:38 AM +00:00","received 40 (20 were 7D in error) FS10-6D / FS10-7D extra 120 received. 10 extra 2r Gold, 40 Mini Ituri Silver, 20 extra Mini Usambara Silver. extra 20 NL FS10. ALL ADDED TO PO.","0.00000","","","0.00000","","","Moonglow HQ","","","Non-Taxable","0.00000","0.00000","False","Non-Taxable","","False","False","Pallene bracelet chain stainless steel- short","SS-BRA-CURB-SM","","80.0000","","2.39000","0 %","","191.20000","","Taxable","","","False","False"
"Emergency stock July 2025","Started","Unpaid","Moonglow US","Moonglow LLC","","riaz@moonglow.com","5183 NW 74th Ave ","","Miami","FL","US","33166 ","","","Shop 1B","1794 David Low Way","Coolum Beach","QLD","Australia","4573","","USD","0.6514300000","$0.00","7/29/2025 3:55:38 AM +00:00","received 40 (20 were 7D in error) FS10-6D / FS10-7D extra 120 received. 10 extra 2r Gold, 40 Mini Ituri Silver, 20 extra Mini Usambara Silver. extra 20 NL FS10. ALL ADDED TO PO.","0.00000","","","0.00000","","","Moonglow HQ","","","Non-Taxable","0.00000","0.00000","False","Non-Taxable","","False","False","Pallene bracelet chain yellow gold- long","YG-BRA-CURB","","50.0000","","3.23000","0 %","","161.50000","","Taxable","","","False","False"
"Emergency stock July 2025","Started","Unpaid","Moonglow US","Moonglow LLC","","riaz@moonglow.com","5183 NW 74th Ave ","","Miami","FL","US","33166 ","","","Shop 1B","1794 David Low Way","Coolum Beach","QLD","Australia","4573","","USD","0.6514300000","$0.00","7/29/2025 3:55:38 AM +00:00","received 40 (20 were 7D in error) FS10-6D / FS10-7D extra 120 received. 10 extra 2r Gold, 40 Mini Ituri Silver, 20 extra Mini Usambara Silver. extra 20 NL FS10. ALL ADDED TO PO.","0.00000","","","0.00000","","","Moonglow HQ","","","Non-Taxable","0.00000","0.00000","False","Non-Taxable","","False","False","Pallene bracelet chain yellow gold- short","YG-BRA-CURB-SM","","30.0000","","3.23000","0 %","","96.90000","","Taxable","","","False","False"
"Emergency stock July 2025","Started","Unpaid","Moonglow US","Moonglow LLC","","riaz@moonglow.com","5183 NW 74th Ave ","","Miami","FL","US","33166 ","","","Shop 1B","1794 David Low Way","Coolum Beach","QLD","Australia","4573","","USD","0.6514300000","$0.00","7/29/2025 3:55:38 AM +00:00","received 40 (20 were 7D in error) FS10-6D / FS10-7D extra 120 received. 10 extra 2r Gold, 40 Mini Ituri Silver, 20 extra Mini Usambara Silver. extra 20 NL FS10. ALL ADDED TO PO.","0.00000","","","0.00000","","","Moonglow HQ","","","Non-Taxable","0.00000","0.00000","False","Non-Taxable","","False","False","Stainless Steel Link Chain","CH-004-ST-16-20","","80.0000","","0.00000","0 %","","0.00000","","Taxable","","","False","False"
"Emergency stock July 2025","Started","Unpaid","Moonglow US","Moonglow LLC","","riaz@moonglow.com","5183 NW 74th Ave ","","Miami","FL","US","33166 ","","","Shop 1B","1794 David Low Way","Coolum Beach","QLD","Australia","4573","","USD","0.6514300000","$0.00","7/29/2025 3:55:38 AM +00:00","received 40 (20 were 7D in error) FS10-6D / FS10-7D extra 120 received. 10 extra 2r Gold, 40 Mini Ituri Silver, 20 extra Mini Usambara Silver. extra 20 NL FS10. ALL ADDED TO PO.","0.00000","","","0.00000","","","Moonglow HQ","","","Non-Taxable","0.00000","0.00000","False","Non-Taxable","","False","False","Carina Twist Bracelet in Black Matte","CARINA-BRA-BL + FS10","","20.0000","","0.00000","0 %","","0.00000","","Taxable","","","False","False"
"Emergency stock July 2025","Started","Unpaid","Moonglow US","Moonglow LLC","","riaz@moonglow.com","5183 NW 74th Ave ","","Miami","FL","US","33166 ","","","Shop 1B","1794 David Low Way","Coolum Beach","QLD","Australia","4573","","USD","0.6514300000","$0.00","7/29/2025 3:55:38 AM +00:00","received 40 (20 were 7D in error) FS10-6D / FS10-7D extra 120 received. 10 extra 2r Gold, 40 Mini Ituri Silver, 20 extra Mini Usambara Silver. extra 20 NL FS10. ALL ADDED TO PO.","0.00000","","","0.00000","","","Moonglow HQ","","","Non-Taxable","0.00000","0.00000","False","Non-Taxable","","False","False","Carina Twist Bracelet in Stainless Steel","CARINA-BRA-SS","","20.0000","","5.67000","0 %","","113.40000","","Taxable","","","False","False"
"Emergency stock July 2025","Started","Unpaid","Moonglow US","Moonglow LLC","","riaz@moonglow.com","5183 NW 74th Ave ","","Miami","FL","US","33166 ","","","Shop 1B","1794 David Low Way","Coolum Beach","QLD","Australia","4573","","USD","0.6514300000","$0.00","7/29/2025 3:55:38 AM +00:00","received 40 (20 were 7D in error) FS10-6D / FS10-7D extra 120 received. 10 extra 2r Gold, 40 Mini Ituri Silver, 20 extra Mini Usambara Silver. extra 20 NL FS10. ALL ADDED TO PO.","0.00000","","","0.00000","","","Moonglow HQ","","","Non-Taxable","0.00000","0.00000","False","Non-Taxable","","False","False","Carina Twist Bracelet in Gold","CARINA-BRA-YG","","20.0000","","6.80000","0 %","","136.00000","","Taxable","","","False","False"
"Emergency stock July 2025","Started","Unpaid","Moonglow US","Moonglow LLC","","riaz@moonglow.com","5183 NW 74th Ave ","","Miami","FL","US","33166 ","","","Shop 1B","1794 David Low Way","Coolum Beach","QLD","Australia","4573","","USD","0.6514300000","$0.00","7/29/2025 3:55:38 AM +00:00","received 40 (20 were 7D in error) FS10-6D / FS10-7D extra 120 received. 10 extra 2r Gold, 40 Mini Ituri Silver, 20 extra Mini Usambara Silver. extra 20 NL FS10. ALL ADDED TO PO.","0.00000","","","0.00000","","","Moonglow HQ","","","Non-Taxable","0.00000","0.00000","False","Non-Taxable","","False","False","The Titan Bracelet","MEN-BRA-CURB-BK + FS10","","20.0000","","7.35000","0 %","","147.00000","","Taxable","","","False","False"
"Emergency stock July 2025","Started","Unpaid","Moonglow US","Moonglow LLC","","riaz@moonglow.com","5183 NW 74th Ave ","","Miami","FL","US","33166 ","","","Shop 1B","1794 David Low Way","Coolum Beach","QLD","Australia","4573","","USD","0.6514300000","$0.00","7/29/2025 3:55:38 AM +00:00","received 40 (20 were 7D in error) FS10-6D / FS10-7D extra 120 received. 10 extra 2r Gold, 40 Mini Ituri Silver, 20 extra Mini Usambara Silver. extra 20 NL FS10. ALL ADDED TO PO.","0.00000","","","0.00000","","","Moonglow HQ","","","Non-Taxable","0.00000","0.00000","False","Non-Taxable","","False","False","Sky Light Pendant in Stainless Steel","SkylightSS","","50.0000","","0.00000","0 %","","0.00000","","Taxable","","","False","False"
"Emergency stock July 2025","Started","Unpaid","Moonglow US","Moonglow LLC","","riaz@moonglow.com","5183 NW 74th Ave ","","Miami","FL","US","33166 ","","","Shop 1B","1794 David Low Way","Coolum Beach","QLD","Australia","4573","","USD","0.6514300000","$0.00","7/29/2025 3:55:38 AM +00:00","received 40 (20 were 7D in error) FS10-6D / FS10-7D extra 120 received. 10 extra 2r Gold, 40 Mini Ituri Silver, 20 extra Mini Usambara Silver. extra 20 NL FS10. ALL ADDED TO PO.","0.00000","","","0.00000","","","Moonglow HQ","","","Non-Taxable","0.00000","0.00000","False","Non-Taxable","","False","False","Sky Light Pendant in Gold","SkylightYG","","50.0000","","0.00000","0 %","","0.00000","","Taxable","","","False","False"
