"ProductName","Location","Sublocation","Serial","Quantity"
"10mm Moondrop","Moonglow HQ","","","-1.00000"
"16""-19"" pewter chain","Eumundi","CH-BN-SS-16-19","","45.00000"
"16""-19"" pewter chain","Fremantle","","","41.00000"
"16""-19"" pewter chain","Moonglow HQ","","","90.00000"
"16-20' Gold","Coolum Shop","","","5.00000"
"16-20' Gold","Moonglow HQ","","","10.00000"
"18"" pewter chain","Eumundi","","","91.00000"
"18"" pewter chain","Fremantle","","","55.00000"
"18"" pewter chain","Moonglow HQ","","","70.00000"
"18"" pewter chain","Queen Vic","","","19.00000"
"18"" pewter chain","Travel","","","20.00000"
"2 Charm Mini Bracelet in Silver","Cairns","","","-1.00000"
"2 charm satellite gold","Travel","","","-1.00000"
"2 drop gold necklace with gold chain ($5 discount applied)","Travel","","","-1.00000"
"2 drop silver bracelet with slinky chain","Travel","","","-1.00000"
"2 drop silver with paw in bottom","Travel","","","-1.00000"
"2 Gold Chains","Travel","","","-1.00000"
"2 large classics","Fremantle","","","-1.00000"
"2 Moon Classic Bracelet","Moonglow HQ","","","-1.00000"
"2 moon satellite silver","Coolum","","","-1.00000"
"2 rose gold mini double-sided linked round charm","Moonglow HQ","","","1.00000"
"2 silver mini double-sided linked round charm","Moonglow HQ","","","6.00000"
"2 silver mini double-sided linked round charm","New Zealand","","","-1.00000"
"2 yellow gold mini double-sided linked round charm","Coolum","","","-1.00000"
"2 yellow gold mini double-sided linked round charm","Moonglow HQ","","","10.00000"
"2 yellow gold mini double-sided linked round charm","New Zealand","","","1.00000"
"28"" Beaded Chain in Gold","Eumundi","","","10.00000"
"28"" Beaded Chain in Gold","Eumundi","CH-YG-BEAD-28","","11.00000"
"28"" Beaded Chain in Gold","Fremantle","","","6.00000"
"28"" Beaded Chain in Gold","Moonglow HQ","","","88.00000"
"28"" Beaded Chain in Gold","New Zealand","","","28.00000"
"28"" Beaded Chain in Gold","Queen Vic","","","15.00000"
"28"" Beaded Chain in Gold","Travel","","","8.00000"
"28"" Beaded Chain in Gold","Travel 2-Melbourne Show","","","10.00000"
